status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,1567,savings below 100 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,1,car or other property,22,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,critical account or other credits existing,car (new),1199,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,60,none,own,2,unskilled resident,1,no telephone,yes,bad credit
checking account below 0 DM,15,existing credits paid back duly till now,car (new),1403,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,4,car or other property,28,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,radio or television,1282,savings between 100 and 500 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,2,car or other property,32,none,own,1,unskilled resident,1,no telephone,yes,bad credit
no checking account,24,critical account or other credits existing,radio or television,2424,unknown or no savings account,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,53,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,30,no credits taken or all credits paid back duly,business,8072,unknown or no savings account,employed less than 1 year,2,male single,none,3,car or other property,25,bank,own,3,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,24,existing credits paid back duly till now,car (used),12579,savings below 100 DM,employed 7 years or more,4,"female divorced, separated, or married",none,2,unknown or no property,44,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,24,existing credits paid back duly till now,radio or television,3430,savings between 500 and 1000 DM,employed 7 years or more,3,male single,none,2,car or other property,31,none,own,1,skilled employee or official,2,telephone registered under customer name,yes,good credit
no checking account,9,critical account or other credits existing,car (new),2134,savings below 100 DM,employed between 1 and 4 years,4,male single,none,4,car or other property,48,none,own,3,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,6,existing credits paid back duly till now,radio or television,2647,savings between 500 and 1000 DM,employed between 1 and 4 years,2,male single,none,3,real estate,44,none,rent,1,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,10,critical account or other credits existing,car (new),2241,savings below 100 DM,employed less than 1 year,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,no telephone,no,good credit
checking account between 0 and 200 DM,12,critical account or other credits existing,car (used),1804,savings between 100 and 500 DM,employed less than 1 year,3,male single,none,4,building society savings agreement or life insurance,44,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,10,critical account or other credits existing,furniture or equipment,2069,unknown or no savings account,employed between 1 and 4 years,2,male married or widowed,none,1,car or other property,26,none,own,2,skilled employee or official,1,no telephone,no,good credit
checking account below 0 DM,6,existing credits paid back duly till now,furniture or equipment,1374,savings below 100 DM,employed between 1 and 4 years,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,telephone registered under customer name,yes,good credit
no checking account,6,no credits taken or all credits paid back duly,radio or television,426,savings below 100 DM,employed 7 years or more,4,male married or widowed,none,4,car or other property,39,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,12,all credits at this bank paid back duly,radio or television,409,savings above 1000 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,3,real estate,42,none,rent,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,7,existing credits paid back duly till now,radio or television,2415,savings below 100 DM,employed between 1 and 4 years,3,male single,guarantor,2,real estate,34,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,60,delay in paying off in the past,business,6836,savings below 100 DM,employed 7 years or more,3,male single,none,4,unknown or no property,63,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,business,1913,savings above 1000 DM,employed less than 1 year,3,male married or widowed,none,3,real estate,36,bank,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,furniture or equipment,4020,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,27,stores,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,car (new),5866,savings between 100 and 500 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,30,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,business,1264,unknown or no savings account,employed 7 years or more,4,male single,none,4,unknown or no property,57,none,rent,1,unskilled resident,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,12,existing credits paid back duly till now,furniture or equipment,1474,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,1,building society savings agreement or life insurance,33,bank,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,45,critical account or other credits existing,radio or television,4746,savings below 100 DM,employed less than 1 year,4,male single,none,2,building society savings agreement or life insurance,25,none,own,2,unskilled resident,1,no telephone,yes,bad credit
no checking account,48,critical account or other credits existing,education,6110,savings below 100 DM,employed between 1 and 4 years,1,male single,none,3,unknown or no property,31,bank,for free,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,18,existing credits paid back duly till now,radio or television,2100,savings below 100 DM,employed between 1 and 4 years,4,male single,co-applicant,2,real estate,37,stores,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,37,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,9,existing credits paid back duly till now,radio or television,458,savings below 100 DM,employed between 1 and 4 years,4,male single,none,3,real estate,24,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,30,existing credits paid back duly till now,radio or television,2333,savings between 500 and 1000 DM,employed 7 years or more,4,male single,none,2,car or other property,30,bank,own,1,"management, self-employed, or highly qualified",1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,1158,savings between 500 and 1000 DM,employed between 1 and 4 years,3,male divorced or separated,none,1,car or other property,26,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,delay in paying off in the past,repairs,6204,savings below 100 DM,employed between 1 and 4 years,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,telephone registered under customer name,yes,good credit
checking account below 0 DM,30,critical account or other credits existing,car (used),6187,savings between 100 and 500 DM,employed between 4 and 7 years,1,male married or widowed,none,4,car or other property,24,none,rent,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,48,critical account or other credits existing,car (used),6143,savings below 100 DM,employed 7 years or more,4,"female divorced, separated, or married",none,4,unknown or no property,58,stores,for free,2,unskilled resident,1,no telephone,yes,bad credit
no checking account,11,critical account or other credits existing,car (new),1393,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,car or other property,35,none,own,2,"management, self-employed, or highly qualified",1,no telephone,yes,good credit
no checking account,36,existing credits paid back duly till now,radio or television,2299,savings between 500 and 1000 DM,employed 7 years or more,4,male single,none,4,car or other property,39,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,6,existing credits paid back duly till now,car (used),1352,savings between 500 and 1000 DM,unemployed,1,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,23,none,rent,1,unemployed or unskilled non-resident,1,telephone registered under customer name,yes,good credit
no checking account,11,critical account or other credits existing,car (new),7228,savings below 100 DM,employed between 1 and 4 years,1,male single,none,4,building society savings agreement or life insurance,39,none,own,2,unskilled resident,1,no telephone,yes,good credit
no checking account,12,existing credits paid back duly till now,radio or television,2073,savings between 100 and 500 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",co-applicant,2,real estate,28,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,24,delay in paying off in the past,furniture or equipment,2333,unknown or no savings account,employed less than 1 year,4,male single,none,2,building society savings agreement or life insurance,29,bank,own,1,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,27,delay in paying off in the past,car (used),5965,savings below 100 DM,employed 7 years or more,1,male single,none,2,car or other property,30,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,12,existing credits paid back duly till now,radio or television,1262,savings below 100 DM,employed between 1 and 4 years,3,male single,none,2,car or other property,25,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown or no savings account,employed between 1 and 4 years,2,male single,none,1,building society savings agreement or life insurance,31,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,36,delay in paying off in the past,car (new),2225,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,57,bank,for free,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown or no savings account,employed between 1 and 4 years,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,6468,unknown or no savings account,unemployed,2,male single,none,1,unknown or no property,52,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,36,critical account or other credits existing,radio or television,9566,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,2,car or other property,31,stores,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,18,existing credits paid back duly till now,car (new),1961,savings below 100 DM,employed 7 years or more,3,"female divorced, separated, or married",none,2,car or other property,23,none,own,1,"management, self-employed, or highly qualified",1,no telephone,yes,good credit
checking account below 0 DM,36,critical account or other credits existing,furniture or equipment,6229,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",co-applicant,4,unknown or no property,23,none,rent,2,unskilled resident,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,9,existing credits paid back duly till now,business,1391,savings below 100 DM,employed between 1 and 4 years,2,male married or widowed,none,1,real estate,27,bank,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,15,critical account or other credits existing,radio or television,1537,unknown or no savings account,employed 7 years or more,4,male single,guarantor,4,real estate,50,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,36,no credits taken or all credits paid back duly,business,1953,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,61,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,48,no credits taken or all credits paid back duly,business,14421,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,25,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,24,existing credits paid back duly till now,radio or television,3181,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,26,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,27,existing credits paid back duly till now,repairs,5190,unknown or no savings account,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,48,none,own,4,skilled employee or official,2,telephone registered under customer name,yes,good credit
no checking account,12,existing credits paid back duly till now,radio or television,2171,savings below 100 DM,employed less than 1 year,2,"female divorced, separated, or married",none,2,car or other property,29,bank,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,car (new),1007,savings above 1000 DM,employed between 1 and 4 years,4,male married or widowed,none,1,real estate,22,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,36,existing credits paid back duly till now,education,1819,savings below 100 DM,employed between 1 and 4 years,4,male single,none,4,unknown or no property,37,stores,for free,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,36,existing credits paid back duly till now,radio or television,2394,unknown or no savings account,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,car or other property,25,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,36,existing credits paid back duly till now,car (used),8133,savings below 100 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,30,bank,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,7,critical account or other credits existing,radio or television,730,unknown or no savings account,employed 7 years or more,4,male single,none,2,building society savings agreement or life insurance,46,none,rent,2,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,8,critical account or other credits existing,others,1164,savings below 100 DM,employed 7 years or more,3,male single,none,4,unknown or no property,51,bank,for free,2,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,42,critical account or other credits existing,business,5954,savings below 100 DM,employed between 4 and 7 years,2,"female divorced, separated, or married",none,1,real estate,41,bank,own,2,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,36,existing credits paid back duly till now,education,1977,unknown or no savings account,employed 7 years or more,4,male single,none,4,unknown or no property,40,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,12,critical account or other credits existing,car (used),1526,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,66,none,for free,2,"management, self-employed, or highly qualified",1,no telephone,yes,good credit
checking account below 0 DM,42,existing credits paid back duly till now,radio or television,3965,savings below 100 DM,employed less than 1 year,4,male single,none,3,car or other property,34,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,11,delay in paying off in the past,radio or television,4771,savings below 100 DM,employed between 4 and 7 years,2,male single,none,4,building society savings agreement or life insurance,51,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,54,no credits taken or all credits paid back duly,car (used),9436,unknown or no savings account,employed between 1 and 4 years,2,male single,none,2,building society savings agreement or life insurance,39,none,own,1,unskilled resident,2,no telephone,yes,good credit
checking account between 0 and 200 DM,30,existing credits paid back duly till now,furniture or equipment,3832,savings below 100 DM,employed less than 1 year,2,male married or widowed,none,1,building society savings agreement or life insurance,22,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,radio or television,5943,unknown or no savings account,employed less than 1 year,1,"female divorced, separated, or married",none,1,car or other property,44,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,15,existing credits paid back duly till now,radio or television,1213,savings between 500 and 1000 DM,employed 7 years or more,4,male single,none,3,building society savings agreement or life insurance,47,stores,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,18,existing credits paid back duly till now,business,1568,savings between 100 and 500 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,24,none,rent,1,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,others,1755,savings below 100 DM,employed 7 years or more,4,"female divorced, separated, or married",guarantor,4,real estate,58,none,own,1,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,10,existing credits paid back duly till now,radio or television,2315,savings below 100 DM,employed 7 years or more,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,no telephone,yes,good credit
no checking account,12,critical account or other credits existing,business,1412,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",guarantor,2,real estate,29,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,critical account or other credits existing,furniture or equipment,1295,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,1,building society savings agreement or life insurance,27,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,education,12612,savings between 100 and 500 DM,employed between 1 and 4 years,1,male single,none,4,unknown or no property,47,none,for free,1,skilled employee or official,2,telephone registered under customer name,yes,bad credit
checking account below 0 DM,18,existing credits paid back duly till now,car (new),2249,savings between 100 and 500 DM,employed between 4 and 7 years,4,male single,none,3,car or other property,30,none,own,1,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,no credits taken or all credits paid back duly,repairs,1108,savings below 100 DM,employed between 4 and 7 years,4,male single,none,3,real estate,28,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
no checking account,12,critical account or other credits existing,radio or television,618,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,56,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,12,critical account or other credits existing,car (used),1409,savings below 100 DM,employed 7 years or more,4,male single,none,3,real estate,54,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,12,critical account or other credits existing,radio or television,797,unknown or no savings account,employed 7 years or more,4,"female divorced, separated, or married",none,3,building society savings agreement or life insurance,33,bank,own,1,unskilled resident,2,no telephone,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,24,critical account or other credits existing,furniture or equipment,3617,unknown or no savings account,employed 7 years or more,4,male single,co-applicant,4,unknown or no property,20,none,rent,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,car (new),1318,savings above 1000 DM,employed 7 years or more,4,male single,none,4,real estate,54,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,54,no credits taken or all credits paid back duly,business,15945,savings below 100 DM,employed less than 1 year,3,male single,none,4,unknown or no property,58,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,12,critical account or other credits existing,education,2012,unknown or no savings account,employed between 4 and 7 years,4,"female divorced, separated, or married",none,2,car or other property,61,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,business,2622,savings between 100 and 500 DM,employed between 1 and 4 years,4,male single,none,4,car or other property,34,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,36,critical account or other credits existing,radio or television,2337,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,36,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,20,delay in paying off in the past,car (used),7057,unknown or no savings account,employed between 4 and 7 years,3,male single,none,4,building society savings agreement or life insurance,36,bank,rent,2,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,car (new),1469,savings between 100 and 500 DM,employed 7 years or more,4,male married or widowed,none,4,real estate,41,none,rent,1,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,radio or television,2323,savings below 100 DM,employed between 4 and 7 years,4,male single,none,4,car or other property,24,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,6,delay in paying off in the past,radio or television,932,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,2,real estate,24,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,9,critical account or other credits existing,furniture or equipment,1919,savings below 100 DM,employed between 4 and 7 years,4,male single,none,3,car or other property,35,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown or no savings account,employed less than 1 year,2,male married or widowed,none,4,car or other property,26,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,24,critical account or other credits existing,others,11938,savings below 100 DM,employed between 1 and 4 years,2,male single,co-applicant,3,car or other property,39,none,own,2,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,bad credit
no checking account,18,all credits at this bank paid back duly,car (new),6458,savings below 100 DM,employed 7 years or more,2,male single,none,4,unknown or no property,39,bank,own,2,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,car (new),6078,savings below 100 DM,employed between 4 and 7 years,2,male single,none,2,car or other property,32,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,furniture or equipment,7721,unknown or no savings account,employed less than 1 year,1,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,30,none,own,1,skilled employee or official,1,telephone registered under customer name,no,good credit
checking account between 0 and 200 DM,14,existing credits paid back duly till now,business,1410,savings between 500 and 1000 DM,employed 7 years or more,1,male married or widowed,none,2,real estate,35,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,6,delay in paying off in the past,business,1449,savings between 100 and 500 DM,employed 7 years or more,1,male divorced or separated,none,2,car or other property,31,bank,own,2,skilled employee or official,2,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,15,existing credits paid back duly till now,education,392,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,23,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,car (new),6260,savings below 100 DM,employed between 4 and 7 years,3,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,no telephone,yes,good credit
no checking account,36,critical account or other credits existing,car (new),7855,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,2,real estate,25,stores,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,12,existing credits paid back duly till now,radio or television,1680,savings between 500 and 1000 DM,employed 7 years or more,3,male married or widowed,none,1,real estate,35,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,48,critical account or other credits existing,radio or television,3578,unknown or no savings account,employed 7 years or more,4,male single,none,1,real estate,47,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,42,existing credits paid back duly till now,radio or television,7174,unknown or no savings account,employed between 4 and 7 years,4,"female divorced, separated, or married",none,3,car or other property,30,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,10,critical account or other credits existing,furniture or equipment,2132,unknown or no savings account,employed less than 1 year,2,"female divorced, separated, or married",co-applicant,3,real estate,27,none,rent,2,skilled employee or official,1,no telephone,no,good credit
checking account below 0 DM,33,critical account or other credits existing,furniture or equipment,4281,savings between 500 and 1000 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,4,car or other property,23,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,12,critical account or other credits existing,car (new),2366,savings between 500 and 1000 DM,employed between 4 and 7 years,3,male divorced or separated,none,3,car or other property,36,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,21,existing credits paid back duly till now,radio or television,1835,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,2,real estate,25,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,24,critical account or other credits existing,car (used),3868,savings below 100 DM,employed 7 years or more,4,"female divorced, separated, or married",none,2,car or other property,41,none,rent,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,12,existing credits paid back duly till now,furniture or equipment,1768,savings below 100 DM,employed between 1 and 4 years,3,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,10,critical account or other credits existing,car (new),781,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,63,none,for free,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,furniture or equipment,1924,unknown or no savings account,employed less than 1 year,4,"female divorced, separated, or married",none,3,real estate,27,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,12,critical account or other credits existing,car (new),2121,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,building society savings agreement or life insurance,30,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,radio or television,701,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,2,real estate,40,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,repairs,639,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,car or other property,30,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,12,critical account or other credits existing,car (used),1860,savings below 100 DM,unemployed,4,male single,none,2,car or other property,34,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,critical account or other credits existing,car (new),3499,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",co-applicant,2,real estate,29,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
